EVTYPE,n,mean_delta,mean_abs
turnover,2,-0.1040837573348738,0.1040837573348738
foul_personal,5,-0.06266192405860024,0.06266192405860024
timeout,2,-0.05279795219195638,0.05279795219195638
made shot,14,0.030275105980577192,0.03286130343929515
free throw,9,0.027632747536654075,0.027632747536654075
substitution,14,-0.017845498415034054,0.02153528456905399
missed shot,14,-0.021481532981698685,0.021481532981698685
rebound_off,6,-0.016901146001827166,0.020993721557087192
rebound_def,9,-0.014569274987776111,0.01829068570638838
end of period,1,-0.0004739538586626679,0.0004739538586626679
foul_shooting,4,0.0,0.0
violation,1,0.0,0.0
