feature,gain,split
PERIOD,1468.8575950674713,1125
CLOCK_SEC,0.0,0
CLOCK_BIN,0.0,0
EVENT_IDX,16893.819645419717,722
MARGIN_PRE,1812.0300126969814,631
MARGIN_POST,5456.0985679626465,2173
ON_COURT_OFF_COUNT,2462.6740288212895,1793
ON_COURT_DEF_COUNT,272.19030974805355,254
ON_COURT_MIA_COUNT,0.0,0
ON_COURT_BOS_COUNT,0.0,0
HERRO_ON,0.0,0
ADEBAYO_ON,0.0,0
HOME_BONUS,1100.641906529665,322
AWAY_BONUS,1098.3300011008978,420
OFF_BONUS,0.0,0
RCNT3_MAKE,0.0,0
RCNT3_MISS,0.0,0
RCNT3_TO,0.0,0
EVTYPE,0.0,0
BIGRAM,0.0,0
TRIGRAM,0.0,0
OFF_SIDE,0.0,0
MARGIN_BIN,0.0,0
